iter	MultiClass
0	1.257439441
1	1.161501941
2	1.083840206
3	1.02079887
4	0.9688832286
5	0.9209364683
6	0.8824959695
7	0.8493506143
8	0.8211908297
9	0.797970615
10	0.775945806
11	0.7566307699
12	0.7400055998
13	0.721519639
14	0.7072825272
15	0.6936510806
16	0.6839877811
17	0.6719695746
18	0.660381518
19	0.651388375
20	0.6430413571
21	0.6374917116
22	0.6285652253
23	0.622612979
24	0.6181879075
25	0.6133886178
26	0.6069363752
27	0.6027325693
28	0.5978382441
29	0.5955521832
30	0.5910284695
31	0.5890619315
32	0.5841321508
33	0.578511226
34	0.5750161963
35	0.5725408022
36	0.5700423157
37	0.5662246316
38	0.5645963372
39	0.562495275
40	0.5592026751
41	0.5576813353
42	0.556757559
43	0.5546719417
44	0.5520152135
45	0.5499713756
46	0.548720973
47	0.5464682529
48	0.5444928216
49	0.5438704384
50	0.5420891557
51	0.5398014827
52	0.5384630867
53	0.5366116622
54	0.5347225006
55	0.5339852116
56	0.5332662013
57	0.5326601779
58	0.531545083
59	0.5306451912
60	0.5296374607
61	0.5283391051
62	0.5271950859
63	0.5268317846
64	0.5259109978
65	0.5253173648
66	0.5246122056
67	0.5240492539
68	0.5232556916
69	0.5225830184
70	0.522070432
71	0.5213605958
72	0.520940991
73	0.5203748312
74	0.5188800087
75	0.5184950656
76	0.5178554152
77	0.5175412913
78	0.5170614466
79	0.5167938479
80	0.5162162287
81	0.5158528118
82	0.5155803765
83	0.5150626521
84	0.5139762162
85	0.513349415
86	0.5130087635
87	0.5128181813
88	0.5123743132
89	0.5118882178
90	0.5108616215
91	0.5099719851
92	0.5095983047
93	0.5092366275
94	0.5087580849
95	0.5085457784
96	0.508283404
97	0.5078121696
98	0.5073413767
99	0.5069126013
100	0.5064328278
101	0.5059061932
102	0.50504947
103	0.5048322052
104	0.5040157823
105	0.503627047
106	0.503082674
107	0.5028052286
108	0.5023874826
109	0.5018897277
110	0.5013881324
111	0.5007917939
112	0.5004903937
113	0.4999679132
114	0.4996383944
115	0.4989895533
116	0.4982237138
117	0.4979200056
118	0.497714599
119	0.4970632128
120	0.4966354199
121	0.4964579359
122	0.4959468819
123	0.4955814656
124	0.4953586406
125	0.494542786
126	0.4942459278
127	0.4938616043
128	0.4933679838
129	0.4929040776
130	0.4926555059
131	0.4923136986
132	0.4919197011
133	0.4917222682
134	0.4914987166
135	0.4912973112
136	0.4911439268
137	0.4909757678
138	0.4907203563
139	0.4901629628
140	0.4896786699
141	0.4893806416
142	0.489179364
143	0.4888052542
144	0.4882308065
145	0.487949398
146	0.4874439695
147	0.4872017645
148	0.4869124131
149	0.4866157105
150	0.4861645079
151	0.4859626095
152	0.485756857
153	0.4855860861
154	0.4853371448
155	0.4853164643
156	0.4850494294
157	0.4848816008
158	0.4847100592
159	0.4845286976
160	0.4843167755
161	0.4839375927
162	0.4836902709
163	0.4834268336
164	0.4831321181
165	0.4829136184
166	0.482495465
167	0.4818558219
168	0.4817356571
169	0.481557748
170	0.4813653272
171	0.4810893871
172	0.4809035239
173	0.4805980698
174	0.4802379863
175	0.4800490892
176	0.479788433
177	0.4796606799
178	0.479411336
179	0.4792431215
180	0.4788704837
181	0.478553089
182	0.4778171969
183	0.4775870372
184	0.477495809
185	0.4772357588
186	0.4771213698
187	0.4767976418
188	0.4766871927
189	0.4764716331
190	0.4763560186
191	0.4762325561
192	0.4760983498
193	0.4759954731
194	0.4758281296
195	0.4756145127
196	0.4754986885
197	0.4754538315
198	0.4752012835
199	0.475053194
200	0.4748546095
201	0.4742945044
202	0.4741542021
203	0.4736456
204	0.4734530534
205	0.4733506846
206	0.4732043475
207	0.4730032945
208	0.4729806455
209	0.472827868
210	0.4726327462
211	0.472524816
212	0.4723505886
213	0.4722455862
214	0.4718872419
215	0.4718327166
216	0.4715909893
217	0.4714312818
218	0.4712289888
219	0.4710785019
220	0.4710491481
221	0.4708901866
222	0.4707845291
223	0.4707059868
224	0.470434624
225	0.4703563779
226	0.4701246816
227	0.4699801694
228	0.469778415
229	0.4695729782
230	0.4694404382
231	0.469279374
232	0.4688172056
233	0.4687183136
234	0.4686026364
235	0.4684057563
236	0.4680399947
237	0.4678415006
238	0.4677354315
239	0.4675359515
240	0.467452066
241	0.4671797647
242	0.4668645402
243	0.4667327365
244	0.4666018015
245	0.4664423436
246	0.4661293053
247	0.46598641
248	0.4658326421
249	0.4655616329
250	0.4654306072
251	0.4652435529
252	0.4651239268
253	0.4650153983
254	0.4648854503
255	0.4648039585
256	0.4647452149
257	0.4646337171
258	0.4645073504
259	0.4643232222
260	0.464253501
261	0.4640783433
262	0.4640606378
263	0.4640049256
264	0.4637693248
265	0.4635300351
266	0.4633534365
267	0.4631526399
268	0.4630168964
269	0.462833417
270	0.46257524
271	0.462212012
272	0.4618256777
273	0.4617068423
274	0.4614074662
275	0.4612913771
276	0.4612168158
277	0.4610179967
278	0.4609344034
279	0.4607473619
280	0.4604148969
281	0.4601439478
282	0.4601108989
283	0.4601001573
284	0.4599522687
285	0.4597021448
286	0.45960271
287	0.4594520748
288	0.4593491488
289	0.4592198237
290	0.4587870065
291	0.458656099
292	0.4585963565
293	0.4583855797
294	0.4579208694
295	0.457812423
296	0.4577533544
297	0.4576338005
298	0.4574593975
299	0.4573384564
300	0.4572343347
301	0.4571640896
302	0.4571078027
303	0.4567913408
304	0.4566747546
305	0.4566127263
306	0.4564755017
307	0.4562557756
308	0.4561132523
309	0.4559413285
310	0.4556632865
311	0.4555582418
312	0.4553922137
313	0.4553236369
314	0.4551994084
315	0.4550133309
316	0.4549419514
317	0.4547498703
318	0.4546632985
319	0.4545378892
320	0.454423806
321	0.4542560801
322	0.4541384297
323	0.4539198952
324	0.4537872206
325	0.4536356558
326	0.4535675919
327	0.4534143817
328	0.4534090931
329	0.453156686
330	0.4531367123
331	0.452932472
332	0.4528431461
333	0.4526764789
334	0.4526026665
335	0.4525427308
336	0.4523734768
337	0.4523145207
338	0.4522091738
339	0.4520582798
340	0.4518844105
341	0.4518441193
342	0.4517851594
343	0.4516390863
344	0.4516118812
345	0.4513423107
346	0.4513241493
347	0.4512472679
348	0.4510639325
349	0.4509299237
350	0.4507333805
351	0.4505771106
352	0.4504815709
353	0.4501632869
354	0.4500814813
355	0.4499266126
356	0.4498138544
357	0.4496307525
358	0.4495255716
359	0.4494814128
360	0.4490871065
361	0.4489705524
362	0.4488661778
363	0.4486963225
364	0.4484904625
365	0.448365567
366	0.4482446396
367	0.4482062002
368	0.4479395728
369	0.4477010908
370	0.4475388606
371	0.4472925269
372	0.4470988072
373	0.4470138762
374	0.4468172618
375	0.446647042
376	0.4465943494
377	0.4464325622
378	0.4462574112
379	0.4459507278
380	0.4457394419
381	0.4455886978
382	0.4453929636
383	0.4451496026
384	0.4450071693
385	0.4449330108
386	0.4448507535
387	0.4446723223
388	0.444494603
389	0.4442715211
390	0.4441310946
391	0.4439896045
392	0.4438518474
393	0.4437520438
394	0.4436650987
395	0.4434187467
396	0.4433302845
397	0.4432663605
398	0.4432086818
399	0.4431657097
400	0.4429832812
401	0.4428283542
402	0.4426064419
403	0.4424849815
404	0.4422966993
405	0.4421835967
406	0.4419329386
407	0.4417995654
408	0.4414771758
409	0.4413104134
410	0.4410951057
411	0.4410434468
412	0.4409276351
413	0.4408660177
414	0.4407962121
415	0.4406202311
416	0.4405397898
417	0.4403619136
418	0.4402729182
419	0.4401417299
420	0.4399920068
421	0.4397660556
422	0.4396208311
423	0.4395674548
424	0.4394159568
425	0.4393758909
426	0.4393183702
427	0.4392310133
428	0.4391189272
429	0.4390152889
430	0.4388991663
431	0.4388043742
432	0.438724563
433	0.4385326184
434	0.438432127
435	0.4383545384
436	0.4382707072
437	0.4381323906
438	0.4378144198
439	0.4377116378
440	0.4374873497
441	0.4373789712
442	0.4372860587
443	0.4371272964
444	0.4370400342
445	0.4369514545
446	0.4367291445
447	0.4365766995
448	0.4364290583
449	0.4362698661
450	0.4360923559
451	0.4360526003
452	0.4357359797
453	0.4356065538
454	0.4354260318
455	0.4352869021
456	0.4351800925
457	0.4350666832
458	0.4349354361
459	0.4348161364
460	0.4346588737
461	0.4345845464
462	0.4343079132
463	0.4341757917
464	0.4339893246
465	0.4339169637
466	0.4338557329
467	0.43371326
468	0.4335335706
469	0.4332995096
470	0.4332112127
471	0.4331296958
472	0.4330286789
473	0.4329407308
474	0.4328398569
475	0.4327411933
476	0.4325204068
477	0.4323708905
478	0.4321598152
479	0.432110106
480	0.4320992376
481	0.4319901575
482	0.431913713
483	0.4316458979
484	0.4315116993
485	0.4312862977
486	0.431201871
487	0.4311445808
488	0.4309167862
489	0.43084142
490	0.4306802279
491	0.4304832311
492	0.4304556133
493	0.4303463368
494	0.4302347689
495	0.430146974
496	0.430111027
497	0.4299374598
498	0.4298364851
499	0.4297275826
500	0.42963101
501	0.429519781
502	0.4293200435
503	0.4290263105
504	0.4289049862
505	0.4287788967
506	0.4287383707
507	0.4286009391
508	0.4284946418
509	0.4284310246
510	0.4282328622
511	0.4281075799
512	0.4279470167
513	0.427814963
514	0.4277576839
515	0.4276091929
516	0.4274856846
517	0.4274511641
518	0.4273429089
519	0.4272196374
520	0.4270513722
521	0.4269138501
522	0.4266912528
523	0.426622459
524	0.4264436208
525	0.4263754128
526	0.4261781414
527	0.4261386109
528	0.4261014526
529	0.4259605945
530	0.4258541473
531	0.4257681621
532	0.4256498979
533	0.425467248
534	0.4254500125
535	0.4253246202
536	0.425175881
537	0.4249436004
538	0.4248060597
539	0.4247350224
540	0.4245771833
541	0.4244078641
542	0.4243003931
543	0.4241826807
544	0.4240725598
545	0.4239630033
546	0.423934323
547	0.4237887332
548	0.4236661416
549	0.4234339913
550	0.4233168714
551	0.4231482301
552	0.4230540674
553	0.4229533849
554	0.4228440789
555	0.4226788847
556	0.4225656634
557	0.4224997968
558	0.4224142382
559	0.4222633892
560	0.4220465782
561	0.4218856859
562	0.4217847416
563	0.4216560861
564	0.4215071986
565	0.4212606923
566	0.4211177261
567	0.4208831309
568	0.4207421439
569	0.4206529488
570	0.4204994252
571	0.4203759532
572	0.4202865445
573	0.420046224
574	0.4198903443
575	0.4197288898
576	0.4195886564
577	0.4193478479
578	0.4192936957
579	0.4191148624
580	0.4189200014
581	0.4188660469
582	0.4187951992
583	0.4187254486
584	0.4185342872
585	0.4183391637
586	0.4182835302
587	0.4182067465
588	0.4181237752
589	0.4179245742
590	0.4176837392
591	0.4175614884
592	0.4174431893
593	0.4173591037
594	0.4173046252
595	0.4171813955
596	0.4170905223
597	0.4169337809
598	0.4168476911
599	0.4167280016
600	0.4166397664
601	0.4166072123
602	0.4165896019
603	0.4164738644
604	0.4163202559
605	0.4162401386
606	0.4160691427
607	0.41595156
608	0.4158728643
609	0.4157071887
610	0.4155283957
611	0.4154585274
612	0.4152106723
613	0.4149478401
614	0.4148906565
615	0.4146391963
616	0.4145377425
617	0.4143653099
618	0.4142048862
619	0.4141101374
620	0.4138645254
621	0.4137841235
622	0.4136368969
623	0.413543367
624	0.4134330802
625	0.4133728125
626	0.4132460075
627	0.4131492635
628	0.4130332058
629	0.4129259021
630	0.4128440684
631	0.4126630376
632	0.4124496728
633	0.4123497037
634	0.4122616253
635	0.4120002936
636	0.4118597423
637	0.4117207356
638	0.4116153981
639	0.4115696354
640	0.4114905814
641	0.411456546
642	0.4114160617
643	0.4113278783
644	0.4111812459
645	0.4110325121
646	0.4108973689
647	0.4108427854
648	0.4106503268
649	0.410380286
650	0.4103363627
651	0.4101879886
652	0.4101403008
653	0.4099759664
654	0.4098907707
655	0.4097215902
656	0.4095543216
657	0.4094661771
658	0.4093635214
659	0.4092857798
660	0.409241714
661	0.4089037429
662	0.4087960204
663	0.4086984732
664	0.4086042719
665	0.4084682572
666	0.4084162303
667	0.4083385442
668	0.4082961889
669	0.4081676131
670	0.4080219692
671	0.4079387944
672	0.4076937619
673	0.4076414228
674	0.4075798981
