iter	Passed	Remaining
0	11	11936
1	22	11023
2	32	10722
3	42	10526
4	51	10323
5	61	10253
6	71	10168
7	81	10126
8	91	10119
9	101	10030
10	112	10075
11	121	10013
12	130	9944
13	141	9999
14	152	9990
15	162	10020
16	171	9927
17	181	9923
18	192	9935
19	202	9934
20	212	9914
21	222	9904
22	233	9917
23	243	9899
24	252	9853
25	262	9827
26	272	9814
27	281	9756
28	290	9727
29	300	9705
30	310	9709
31	319	9669
32	330	9678
33	341	9706
34	352	9723
35	363	9721
36	372	9688
37	381	9670
38	391	9649
39	402	9656
40	412	9658
41	423	9660
42	433	9643
43	443	9629
44	454	9638
45	465	9662
46	474	9630
47	486	9644
48	496	9628
49	506	9621
50	517	9625
51	527	9616
52	537	9608
53	547	9598
54	558	9594
55	568	9587
56	578	9565
57	587	9542
58	597	9526
59	607	9511
60	617	9509
61	628	9508
62	638	9494
63	647	9468
64	657	9452
65	667	9443
66	677	9429
67	687	9417
68	696	9403
69	706	9392
70	717	9388
71	727	9380
72	736	9350
73	746	9346
74	758	9348
75	767	9332
76	777	9316
77	786	9297
78	796	9286
79	806	9274
80	815	9251
81	826	9250
82	834	9223
83	845	9214
84	855	9213
85	866	9208
86	875	9192
87	885	9181
88	895	9170
89	905	9158
90	916	9150
91	927	9158
92	937	9141
93	948	9138
94	958	9127
95	967	9113
96	976	9093
97	987	9085
98	996	9073
99	1007	9067
100	1018	9061
101	1028	9058
102	1039	9050
103	1047	9026
104	1058	9019
105	1068	9011
106	1078	8997
107	1088	8989
108	1098	8975
109	1108	8966
110	1118	8954
111	1128	8947
112	1138	8936
113	1149	8933
114	1160	8932
115	1172	8937
116	1185	8949
117	1197	8953
118	1208	8946
119	1220	8948
120	1231	8948
121	1242	8940
122	1251	8925
123	1262	8916
124	1270	8894
125	1280	8885
126	1292	8882
127	1302	8870
128	1312	8860
129	1322	8850
130	1333	8843
131	1342	8824
132	1352	8817
133	1361	8801
134	1371	8789
135	1381	8778
136	1391	8764
137	1400	8747
138	1410	8734
139	1420	8723
140	1430	8715
141	1440	8704
142	1451	8701
143	1462	8690
144	1473	8689
145	1483	8676
146	1493	8667
147	1503	8654
148	1514	8648
149	1523	8633
150	1533	8624
151	1544	8616
152	1554	8604
153	1563	8588
154	1572	8573
155	1582	8559
156	1591	8544
157	1601	8536
158	1612	8527
159	1622	8516
160	1631	8503
161	1642	8494
162	1651	8478
163	1662	8477
164	1673	8466
165	1683	8458
166	1694	8452
167	1705	8445
168	1714	8430
169	1723	8415
170	1733	8401
171	1743	8391
172	1752	8377
173	1763	8370
174	1773	8362
175	1783	8350
176	1793	8338
177	1802	8326
178	1812	8315
179	1822	8301
180	1832	8291
181	1842	8279
182	1853	8274
183	1863	8263
184	1872	8251
185	1883	8241
186	1892	8225
187	1903	8220
188	1913	8209
189	1922	8196
190	1932	8183
191	1941	8168
192	1950	8154
193	1958	8138
194	1968	8124
195	1977	8110
196	1987	8100
197	1995	8084
198	2005	8072
199	2015	8060
200	2025	8051
201	2036	8045
202	2045	8030
203	2057	8027
204	2067	8016
205	2076	8004
206	2086	7994
207	2096	7981
208	2104	7965
209	2116	7960
210	2125	7947
211	2135	7936
212	2143	7921
213	2154	7914
214	2165	7905
215	2174	7892
216	2184	7882
217	2194	7871
218	2205	7864
219	2215	7855
220	2223	7839
221	2233	7826
222	2243	7815
223	2251	7800
224	2261	7788
225	2270	7775
226	2280	7764
227	2290	7755
228	2299	7742
229	2309	7732
230	2319	7723
231	2329	7712
232	2340	7704
233	2350	7694
234	2359	7682
235	2369	7672
236	2380	7663
237	2390	7652
238	2399	7638
239	2409	7629
240	2419	7618
241	2430	7611
242	2441	7606
243	2451	7597
244	2462	7588
245	2472	7578
246	2483	7572
247	2493	7561
248	2504	7555
249	2515	7545
250	2525	7534
251	2534	7524
252	2544	7513
253	2553	7498
254	2562	7487
255	2572	7476
256	2580	7461
257	2591	7453
258	2602	7444
259	2611	7433
260	2620	7420
261	2631	7412
262	2640	7398
263	2648	7384
264	2660	7379
265	2670	7369
266	2680	7359
267	2691	7350
268	2701	7341
269	2712	7333
270	2722	7323
271	2734	7317
272	2745	7311
273	2756	7302
274	2766	7294
275	2776	7283
276	2785	7271
277	2796	7262
278	2805	7250
279	2817	7244
280	2827	7235
281	2838	7228
282	2847	7214
283	2856	7202
284	2865	7190
285	2877	7183
286	2886	7171
287	2896	7161
288	2906	7151
289	2916	7140
290	2927	7131
291	2937	7122
292	2947	7111
293	2957	7102
294	2969	7096
295	2978	7084
296	2987	7072
297	2997	7061
298	3007	7051
299	3018	7044
300	3029	7034
301	3043	7034
302	3053	7023
303	3065	7019
304	3075	7008
305	3086	6999
306	3095	6988
307	3105	6976
308	3115	6966
309	3125	6957
310	3136	6948
311	3145	6935
312	3154	6924
313	3163	6911
314	3173	6901
315	3184	6892
316	3193	6880
317	3204	6872
318	3214	6862
319	3224	6852
320	3234	6841
321	3244	6832
322	3254	6821
323	3264	6810
324	3275	6802
325	3285	6792
326	3294	6780
327	3305	6771
328	3313	6757
329	3323	6748
330	3332	6734
331	3342	6725
332	3352	6715
333	3363	6706
334	3373	6696
335	3382	6684
336	3392	6674
337	3401	6662
338	3411	6651
339	3421	6640
340	3430	6630
341	3439	6618
342	3448	6606
343	3458	6595
344	3466	6582
345	3479	6576
346	3487	6562
